"BehaviorSpace results (NetLogo 6.0.4)"
"evo_coop_periodic_rainfall_v3.nlogo"
"final_sims"
"06/30/2021 14:40:07:726 -0700"
"min-pxcor","max-pxcor","min-pycor","max-pycor"
"0","90","0","90"
"[run number]","show-energy?","average-drought","logistic-growth-rate","gap-width","minimum-plant-number","initial-population","average-rain","energy-transfer-cooperator","energy-transfer-non-cooperator","P","patch-width","[step]","mean cooperator-list","mean noncooperator-list","mean cooperator-lifespan-list","mean noncooperator-lifespan-list","mean cooperator-greentile-list","mean cooperator-blacktile-list","mean noncooperator-greentile-list","mean noncooperator-blacktile-list","mean patchHop-cooperators","mean patchHop-noncooperators"
"37","false","1","0.4","0","500","40","1","0.3","1","0.2","2","500","2.16","27.552","48.82608695652174","210.1656050955414","48.82608695652174","0","210.1656050955414","0","0","0"
"39","false","1","0.4","0","500","40","1","0.3","1","0.2","2","500","1.406","28.276","38.526315789473685","212.51666666666668","38.526315789473685","0","212.51666666666668","0","0","0"
"34","false","1","0.4","0","500","40","1","0.3","1","0.2","2","500","1.866","27.496","45.857142857142854","199.78125","45.857142857142854","0","199.78125","0","0","0"
"38","false","1","0.4","0","500","40","1","0.3","1","0.2","2","500","1.618","27.472","44.05263157894737","195.33544303797467","44.05263157894737","0","195.33544303797467","0","0","0"
"43","false","1","0.4","0","500","40","1","0.3","1","0.2","4","500","1.138","28.112","36.5625","212.78313253012047","36.5625","0","212.78313253012047","0","0","0"
"44","false","1","0.4","0","500","40","1","0.3","1","0.2","4","500","2.174","27.39","46.708333333333336","196.45890410958904","46.708333333333336","0","196.45890410958904","0","0","0"
"47","false","1","0.4","0","500","40","1","0.3","1","0.2","4","500","1.414","27.702","42.94117647058823","179.05673758865248","42.94117647058823","0","179.05673758865248","0","0","0"
"46","false","1","0.4","0","500","40","1","0.3","1","0.2","4","500","1.186","28.014","36.05882352941177","192.35365853658536","36.05882352941177","0","192.35365853658536","0","0","0"
"42","false","1","0.4","0","500","40","1","0.3","1","0.2","4","500","1.92","27.388","43.34782608695652","199.84459459459458","43.34782608695652","0","199.84459459459458","0","0","0"
"40","false","1","0.4","0","500","40","1","0.3","1","0.2","2","500","2.672","28.138","52.92307692307692","213.52409638554218","52.92307692307692","0","213.52409638554218","0","0","0"
"45","false","1","0.4","0","500","40","1","0.3","1","0.2","4","500","1.59","28.314","45.166666666666664","194.47560975609755","45.166666666666664","0","194.47560975609755","0","0","0"
"41","false","1","0.4","0","500","40","1","0.3","1","0.2","4","500","2.718","28.538","51.642857142857146","254.77551020408163","51.642857142857146","0","254.77551020408163","0","0","0"
"48","false","1","0.4","0","500","40","1","0.3","1","0.2","4","500","1.874","27.568","47.9","205.85064935064935","47.9","0","205.85064935064935","0","0","0"
"51","false","1","0.4","0","500","40","1","0.3","1","0.2","6","500","2.286","26.882","48.625","190.75","48.625","0","190.75","0","0","0"
"50","false","1","0.4","0","500","40","1","0.3","1","0.2","4","500","1.69","27.776","47.94444444444444","211.23270440251574","47.94444444444444","0","211.23270440251574","0","0","0"
"52","false","1","0.4","0","500","40","1","0.3","1","0.2","6","500","1.37","28.26","44.5625","204.6851851851852","44.5625","0","204.6851851851852","0","0","0"
"53","false","1","0.4","0","500","40","1","0.3","1","0.2","6","500","2.312","27.148","50.541666666666664","197.6418918918919","50.541666666666664","0","197.6418918918919","0","0","0"
"54","false","1","0.4","0","500","40","1","0.3","1","0.2","6","500","1.168","28.432","37.5","223.31073446327684","37.5","0","223.31073446327684","0","0","0"
"55","false","1","0.4","0","500","40","1","0.3","1","0.2","6","500","1.836","28.496","43.45454545454545","215.64204545454547","43.45454545454545","0","215.64204545454547","0","0","0"
"56","false","1","0.4","0","500","40","1","0.3","1","0.2","6","500","2.034","28.038","47.40909090909091","212.63005780346822","47.40909090909091","0","212.63005780346822","0","0","0"
"57","false","1","0.4","0","500","40","1","0.3","1","0.2","6","500","1.728","27.396","46.73684210526316","206.625","46.73684210526316","0","206.625","0","0","0"
"58","false","1","0.4","0","500","40","1","0.3","1","0.2","6","500","2.098","27.978","46.608695652173914","227.23566878980893","46.608695652173914","0","227.23566878980893","0","0","0"
"59","false","1","0.4","0","500","40","1","0.3","1","0.2","6","500","1.226","28.484","40","199.47619047619048","40","0","199.47619047619048","0","0","0"
"61","false","1","0.4","0","500","40","1","0.3","1","0.4","2","500","1.624","26.608","43.73684210526316","261.28688524590166","43.73684210526316","0","261.28688524590166","0","0","0"
"62","false","1","0.4","0","500","40","1","0.3","1","0.4","2","500","2.226","26.126","42.25925925925926","238.3047619047619","42.25925925925926","0","238.3047619047619","0","0","0"
"64","false","1","0.4","0","500","40","1","0.3","1","0.4","2","500","1.86","26.76","43.27272727272727","250.38095238095238","43.27272727272727","0","250.38095238095238","0","0","0"
"60","false","1","0.4","0","500","40","1","0.3","1","0.2","6","500","2.678","27.33","49.92857142857143","204.93959731543623","49.92857142857143","0","204.93959731543623","0","0","0"
"65","false","1","0.4","0","500","40","1","0.3","1","0.4","2","500","1.624","26.1","39.666666666666664","232.8490566037736","39.666666666666664","0","232.8490566037736","0","0","0"
"63","false","1","0.4","0","500","40","1","0.3","1","0.4","2","500","2.148","26.606","49.81818181818182","251.11904761904762","49.81818181818182","0","251.11904761904762","0","0","0"
"66","false","1","0.4","0","500","40","1","0.3","1","0.4","2","500","1.3","27.14","35.21052631578947","237.9558823529412","35.21052631578947","0","237.9558823529412","0","0","0"
"68","false","1","0.4","0","500","40","1","0.3","1","0.4","2","500","1.31","27.286","41.9375","249.55555555555554","41.9375","0","249.55555555555554","0","0","0"
"69","false","1","0.4","0","500","40","1","0.3","1","0.4","2","500","1.586","26.354","40.85","242.86868686868686","40.85","0","242.86868686868686","0","0","0"
"67","false","1","0.4","0","500","40","1","0.3","1","0.4","2","500","1.564","27.044","36.59090909090909","239.95070422535213","36.59090909090909","0","239.95070422535213","0","0","0"
"71","false","1","0.4","0","500","40","1","0.3","1","0.4","4","500","1.912","27.12","42.56521739130435","241.93793103448274","42.56521739130435","0","241.93793103448274","0","0","0"
"70","false","1","0.4","0","500","40","1","0.3","1","0.4","2","500","1.68","26.164","41","215.4","41","0","215.4","0","0","0"
"74","false","1","0.4","0","500","40","1","0.3","1","0.4","4","500","2.336","26.048","44.25925925925926","222.51785714285714","44.25925925925926","0","222.51785714285714","0","0","0"
"75","false","1","0.4","0","500","40","1","0.3","1","0.4","4","500","1.75","26.612","39.08695652173913","250.51162790697674","39.08695652173913","0","250.51162790697674","0","0","0"
"73","false","1","0.4","0","500","40","1","0.3","1","0.4","4","500","1.222","27.514","34.94444444444444","235.4468085106383","34.94444444444444","0","235.4468085106383","0","0","0"
"76","false","1","0.4","0","500","40","1","0.3","1","0.4","4","500","1.906","26.89","37.80769230769231","232.64566929133858","37.80769230769231","0","232.64566929133858","0","0","0"
"72","false","1","0.4","0","500","40","1","0.3","1","0.4","4","500","1.708","26.924","41.666666666666664","251.88429752066116","41.666666666666664","0","251.88429752066116","0","0","0"
"77","false","1","0.4","0","500","40","1","0.3","1","0.4","4","500","1.644","27.284","40.19047619047619","269.82142857142856","40.19047619047619","0","269.82142857142856","0","0","0"
"78","false","1","0.4","0","500","40","1","0.3","1","0.4","4","500","1.07","27.146","36.666666666666664","250.47692307692307","36.666666666666664","0","250.47692307692307","0","0","0"
"79","false","1","0.4","0","500","40","1","0.3","1","0.4","4","500","1.218","27.016","39.0625","225.5","39.0625","0","225.5","0","0","0"
"80","false","1","0.4","0","500","40","1","0.3","1","0.4","4","500","1.934","27.822","43.17391304347826","286.85380116959067","43.17391304347826","0","286.85380116959067","0","0","0"
"81","false","1","0.4","0","500","40","1","0.3","1","0.4","6","500","1.47","26.988","37.75","254.7846153846154","37.75","0","254.7846153846154","0","0","0"
"82","false","1","0.4","0","500","40","1","0.3","1","0.4","6","500","2.16","26.484","44.2","245.1496062992126","44.2","0","245.1496062992126","0","0","0"
"84","false","1","0.4","0","500","40","1","0.3","1","0.4","6","500","1.3","26.92","37.111111111111114","225.85365853658536","37.111111111111114","0","225.85365853658536","0","0","0"
"86","false","1","0.4","0","500","40","1","0.3","1","0.4","6","500","1.478","26.262","37.95","221.54054054054055","37.95","0","221.54054054054055","0","0","0"
"83","false","1","0.4","0","500","40","1","0.3","1","0.4","6","500","1.43","27.01","40.72222222222222","272.64963503649636","40.72222222222222","0","272.64963503649636","0","0","0"
"87","false","1","0.4","0","500","40","1","0.3","1","0.4","6","500","1.578","26.522","38.57142857142857","245.34677419354838","38.57142857142857","0","245.34677419354838","0","0","0"
"85","false","1","0.4","0","500","40","1","0.3","1","0.4","6","500","2.096","27.208","44.791666666666664","269.4015151515151","44.791666666666664","0","269.4015151515151","0","0","0"
"88","false","1","0.4","0","500","40","1","0.3","1","0.4","6","500","1.536","27.06","39.4","266.40939597315435","39.4","0","266.40939597315435","0","0","0"
"89","false","1","0.4","0","500","40","1","0.3","1","0.4","6","500","1.732","26.872","38.69565217391305","245.33913043478262","38.69565217391305","0","245.33913043478262","0","0","0"
"90","false","1","0.4","0","500","40","1","0.3","1","0.4","6","500","1.334","26.938","38.05555555555556","261.7902097902098","38.05555555555556","0","261.7902097902098","0","0","0"
"91","false","1","0.4","0","500","40","1","0.3","1","0.6","2","500","1.378","28.074","44.0625","202.28187919463087","44.0625","0","202.28187919463087","0","0","0"
"96","false","1","0.4","0","500","40","1","0.3","1","0.6","2","500","1.74","27.524","43","178.97692307692307","43","0","178.97692307692307","0","0","0"
"93","false","1","0.4","0","500","40","1","0.3","1","0.6","2","500","1.85","27.908","43.04545454545455","197.15602836879432","43.04545454545455","0","197.15602836879432","0","0","0"
"92","false","1","0.4","0","500","40","1","0.3","1","0.6","2","500","2.08","27.49","48.54545454545455","185.08333333333334","48.54545454545455","0","185.08333333333334","0","0","0"
"95","false","1","0.4","0","500","40","1","0.3","1","0.6","2","500","2.006","27.25","48.76190476190476","180.9185185185185","48.76190476190476","0","180.9185185185185","0","0","0"
"97","false","1","0.4","0","500","40","1","0.3","1","0.6","2","500","1.558","27.882","42.421052631578945","208.04458598726114","42.421052631578945","0","208.04458598726114","0","0","0"
"94","false","1","0.4","0","500","40","1","0.3","1","0.6","2","500","1.892","27.686","46.142857142857146","197.27333333333334","46.142857142857146","0","197.27333333333334","0","0","0"
"99","false","1","0.4","0","500","40","1","0.3","1","0.6","2","500","2.726","26.232","49.51724137931034","178.34615384615384","49.51724137931034","0","178.34615384615384","0","0","0"
"98","false","1","0.4","0","500","40","1","0.3","1","0.6","2","500","2.226","27.598","46.48","195.47517730496455","46.48","0","195.47517730496455","0","0","0"
"101","false","1","0.4","0","500","40","1","0.3","1","0.6","4","500","2.034","26.974","45.21739130434783","205.16","45.21739130434783","0","205.16","0","0","0"
"102","false","1","0.4","0","500","40","1","0.3","1","0.6","4","500","1.43","27.492","38.63157894736842","201.1627906976744","38.63157894736842","0","201.1627906976744","0","0","0"
"100","false","1","0.4","0","500","40","1","0.3","1","0.6","2","500","2.176","27.244","43.96153846153846","183.46616541353384","43.96153846153846","0","183.46616541353384","0","0","0"
"103","false","1","0.4","0","500","40","1","0.3","1","0.6","4","500","1.824","28.09","44.42857142857143","202.11111111111111","44.42857142857143","0","202.11111111111111","0","0","0"
"104","false","1","0.4","0","500","40","1","0.3","1","0.6","4","500","1.354","28.068","46.13333333333333","197.3","46.13333333333333","0","197.3","0","0","0"
"105","false","1","0.4","0","500","40","1","0.3","1","0.6","4","500","2.196","27.34","49.08695652173913","217.9504132231405","49.08695652173913","0","217.9504132231405","0","0","0"
"106","false","1","0.4","0","500","40","1","0.3","1","0.6","4","500","1.99","27.106","42.958333333333336","193.135593220339","42.958333333333336","0","193.135593220339","0","0","0"
"107","false","1","0.4","0","500","40","1","0.3","1","0.6","4","500","1.946","26.858","47.333333333333336","197.51282051282053","47.333333333333336","0","197.51282051282053","0","0","0"
"108","false","1","0.4","0","500","40","1","0.3","1","0.6","4","500","1.768","27.742","47.526315789473685","222.3916083916084","47.526315789473685","0","222.3916083916084","0","0","0"
"109","false","1","0.4","0","500","40","1","0.3","1","0.6","4","500","2.12","27.4","43.44","215.90298507462686","43.44","0","215.90298507462686","0","0","0"
"111","false","1","0.4","0","500","40","1","0.3","1","0.6","6","500","2.146","26.762","50.40909090909091","215.16814159292036","50.40909090909091","0","215.16814159292036","0","0","0"
"116","false","1","0.4","0","500","40","1","0.3","1","0.6","6","500","2.132","26.91","47.95652173913044","185.5897435897436","47.95652173913044","0","185.5897435897436","0","0","0"
"110","false","1","0.4","0","500","40","1","0.3","1","0.6","4","500","2.386","27.308","47.57692307692308","202.19148936170214","47.57692307692308","0","202.19148936170214","0","0","0"
"112","false","1","0.4","0","500","40","1","0.3","1","0.6","6","500","1.386","28.21","41.76470588235294","199.68666666666667","41.76470588235294","0","199.68666666666667","0","0","0"
"113","false","1","0.4","0","500","40","1","0.3","1","0.6","6","500","1.824","27.86","42.45454545454545","220.8985507246377","42.45454545454545","0","220.8985507246377","0","0","0"
"114","false","1","0.4","0","500","40","1","0.3","1","0.6","6","500","1.864","27.692","45.42857142857143","199.12820512820514","45.42857142857143","0","199.12820512820514","0","0","0"
